"","YEAR","OCC","OCCSOC","STATEFIP","AGE","RACE","SEX","MARST","CITIZEN","INCTOT","REGION","IND","EducAttainment","Overeducation"
"240",2007,5860,"439061",51,62,1,2,5,0,25700,31,4870,2,0
"241",2007,2040,"212011",36,63,2,1,6,2,9000,12,9160,7,1
"242",2007,6230,"472031",12,35,1,1,4,0,17300,31,770,3,1
"243",2007,8030,"514041",41,46,1,1,1,0,50000,42,3960,3,1
"244",2007,2040,"212011",9,68,1,1,6,0,35000,11,9160,6,1
"245",2007,5240,"434051",17,29,1,1,1,0,39000,21,4470,3,1
"246",2007,4700,"411011",8,67,1,2,1,0,3401,41,5170,6,1
"247",2007,530,"131023",6,39,1,2,1,0,24900,42,1370,3,NA
"248",2007,3220,"291126",1,62,2,2,4,0,54000,32,8190,3,0
"249",2007,4720,"412010",36,34,2,1,3,0,6000,12,5090,2,0
"250",2007,5820,"439022",42,38,1,1,1,0,51000,12,2670,2,0
"251",2007,9820,"553010",53,26,1,1,1,0,60050,42,9690,5,NA
"252",2007,9620,"537062",26,54,1,1,1,0,40000,21,3590,4,1
"253",2007,1010,"151021",12,51,1,1,6,0,75000,31,7670,5,NA
"254",2007,230,"119030",18,56,2,2,1,0,27500,21,8470,5,0
"255",2007,1530,"1721YY",39,52,1,1,1,0,56000,21,3390,4,0
"256",2007,5000,"431011",6,44,1,2,6,0,90000,42,7470,5,1
"257",2007,420,"119151",36,23,1,2,6,0,32000,12,9190,5,0
"258",2007,5700,"436010",19,42,1,2,1,0,5500,22,5680,4,NA
"259",2007,3060,"291060",21,51,1,1,1,0,55200,32,8090,7,NA
"260",2007,4010,"351012",4,25,7,1,6,3,26000,41,8680,2,0
"261",2007,5860,"439061",19,40,1,2,4,0,20000,22,8190,4,1
"262",2007,9130,"533030",5,36,1,1,4,0,50000,33,6170,2,0
"263",2007,3300,"292010",34,35,8,2,4,2,21000,12,8180,3,NA
"264",2007,2150,"232090",48,36,1,1,1,0,65000,33,4490,3,NA
"265",2007,1700,"192010",17,79,1,1,1,0,144420,21,7460,7,0
"266",2007,9130,"533030",34,44,1,1,1,0,60000,12,770,2,0
"267",2007,120,"113031",34,21,1,1,6,0,15000,12,6870,5,0
"268",2007,5700,"436010",25,57,1,2,1,0,26000,11,9160,2,NA
"269",2007,320,"119061",29,25,1,1,6,0,35000,22,9080,4,NA
"270",2007,8960,"5191XX",17,63,1,1,4,0,23500,21,3170,1,NA
"271",2007,4760,"412031",37,25,2,1,6,0,1500,31,4790,2,1
"272",2007,4810,"413021",42,41,1,1,1,0,382000,12,6990,5,1
"273",2007,4230,"372012",17,58,1,2,1,0,20400,21,8660,1,0
"274",2007,430,"1191XX",12,46,1,1,1,0,65000,31,7680,3,NA
"275",2007,800,"132011",8,58,1,1,1,0,4200,41,7280,5,0
"276",2007,9120,"533020",42,77,1,1,1,0,32300,12,7860,1,NA
"277",2007,160,"113071",20,57,1,1,1,0,81000,22,670,3,1
"278",2007,3600,"311010",6,29,1,2,1,0,24100,42,8190,4,NA
"279",2007,4760,"412031",36,23,2,2,6,0,17200,12,5380,5,1
"280",2007,2920,"274030",36,57,1,2,6,0,92400,12,6670,2,0
"281",2007,4800,"413011",13,39,1,1,1,0,387000,31,6670,5,1
"282",2007,130,"113040",4,55,1,2,2,0,84190,41,6695,6,NA
"283",2007,710,"131111",36,64,1,2,1,0,28000,12,3190,2,0
"284",2007,3600,"311010",48,25,1,1,1,0,17000,33,8170,5,NA
"285",2007,7750,"512090",6,53,6,1,1,2,27000,42,3190,1,0
"286",2007,4760,"412031",12,40,1,2,1,2,2500,31,5080,5,1
"287",2007,2310,"252020",8,29,1,1,6,0,44500,41,7860,5,0
"288",2007,4610,"399021",6,54,1,2,5,0,4000,42,8170,2,NA
"289",2007,9120,"533020",15,40,5,1,1,0,50000,42,6180,3,NA
"290",2007,8030,"514041",20,35,1,1,1,0,36000,22,3590,3,1
"291",2007,2100,"2310XX",42,63,1,1,1,0,153500,12,9470,7,0
"292",2007,2340,"253000",11,45,2,2,6,0,44000,31,7890,3,NA
"293",2007,5240,"434051",6,23,7,1,6,0,21600,42,8180,3,1
"294",2007,3300,"292010",47,33,1,2,1,2,28000,32,8190,5,NA
"295",2007,1920,"194031",25,58,1,1,1,0,75000,11,2290,5,1
"296",2007,1960,"1940XX",18,49,1,1,1,0,23000,21,670,3,NA
"297",2007,7700,"511011",12,56,2,1,4,0,33000,31,1590,2,NA
"298",2007,4720,"412010",39,21,1,2,3,0,12100,21,4970,2,0
"299",2007,6230,"472031",25,76,1,1,1,0,51200,11,770,5,1
"300",2007,9130,"533030",39,48,1,1,1,0,27050,21,6170,5,1
